time,RegionID,Zipcode,City,State,Metro,CountyName,SizeRank,AveragePrice,ROI,value
1997-11-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,208000.0
1997-11-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,307700.0
1997-12-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,342900.0
1997-12-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,139800.0
1997-12-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,154300.0
1997-12-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,164000.0
1997-12-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,152400.0
1997-12-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,602700.0
1997-12-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,114500.0
1997-12-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,210200.0
1997-12-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,309500.0
1998-01-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,347400.0
1998-01-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,141500.0
1998-01-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,156100.0
1998-01-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,165300.0
1998-01-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,154100.0
1998-01-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,609000.0
1998-01-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,115700.0
1998-01-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,212600.0
1998-01-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,311400.0
1998-02-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,351800.0
1998-02-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,142900.0
1998-02-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,157900.0
1998-02-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,166300.0
1998-02-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,155500.0
1998-02-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,614800.0
1998-02-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,116800.0
1998-02-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,215000.0
1998-02-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,312900.0
1998-03-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,355900.0
1998-03-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,144200.0
1998-03-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,159400.0
1998-03-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,167100.0
1998-03-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,156600.0
1998-03-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,619500.0
1998-03-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,117600.0
1998-03-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,217400.0
1998-03-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,314100.0
1998-04-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,360200.0
1998-04-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,145300.0
1998-04-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,161100.0
1998-04-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,167800.0
1998-04-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,157500.0
1998-04-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,623900.0
1998-04-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,118400.0
1998-04-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,219900.0
1998-04-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,315500.0
1998-05-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,364700.0
1998-05-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,146200.0
1998-05-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,162700.0
1998-05-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,168400.0
1998-05-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,158200.0
1998-05-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,627800.0
1998-05-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,119100.0
1998-05-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,222300.0
1998-05-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,317100.0
1998-06-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,369200.0
1998-06-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,147000.0
1998-06-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,164500.0
1998-06-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,168900.0
1998-06-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,158800.0
1998-06-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,631200.0
1998-06-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,119800.0
1998-06-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,224500.0
1998-06-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,318900.0
1998-07-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,373800.0
1998-07-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,147700.0
1998-07-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,166200.0
1998-07-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,169500.0
1998-07-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,159500.0
1998-07-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,634000.0
1998-07-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,120500.0
1998-07-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,226500.0
1998-07-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,320700.0
1998-08-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,378400.0
1998-08-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,148500.0
1998-08-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,167900.0
1998-08-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,170200.0
1998-08-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,160400.0
